Personas;Gastos;Ingresos;Categoria;G1_Alimentacion;G2_Bebidas;G8_Comunicaciones;G9_Recreacion;G10_Educacion;G11_Restaurantes
5;1387893;500213;1.Bajo;281100.25;42993.125;75693.39622641509;64276.3820507443;39946.666666666635;38146.91624365482
4;1880938;2536449;2.Medio;255973.52787778183;137113.42955445938;110929.32263744819;203061.4962363648;47080.44490898391;148733.7872283319
5;1399475;890000;1.Bajo;202343.93196681788;307.170378011062;145270.1675186932;50029.64167219791;98708.3333333334;24680.73081396082
2;340514;87000;1.Bajo;113543.77734839047;663.321978461725;40113.9680953026;1037.01720083684;91666.6666666667;11831.4700550127
1;1129143;792000;1.Bajo;15000.0;14100.0;75000.0;150000.0;278499.9999999997;46260.86956521739
4;2414712;2440000;2.Medio;467673.75;20324.375;90000.0;369996.8125;510916.6666666667;204212.5
3;2268250;3240619;3.Alto;356125.1700501339;152.002638916116;125026.11620269;418421.89613402484;217166.66666666663;230408.01873640172
4;3292790;5549383;3.Alto;171942.22713275717;128298.6665039063;266450.549450549;434327.2983846754;254000.0;420299.25474697247
3;1090459;1414906;2.Medio;184402.46841430664;27877.2663574219;75055.55555555559;119626.54855911821;25000.0;64004.66734313969
4;2397138;1830000;2.Medio;471096.0429645263;103929.88530147755;133214.12522586467;108317.11387474264;269166.6666666663;184004.2610260747
3;1959855;2328538;2.Medio;65249.503246171036;19662.501108898858;130044.07051744615;220978.4769574243;353749.9999999996;204501.51935044376
2;1976279;1600001;2.Medio;29280.0;43600.0;20990.0;36701.50943396226;412916.66666666634;36000.0
3;1211675;1110000;2.Medio;221896.0625;16798.125;70000.0;20329.72720994475;32916.66666666663;34855.625
4;928827;852876;1.Bajo;251157.5451365856;2618.71496492349;410.656002973955;28280.0185172399;625.0;89651.99814056011
4;570125;400240;1.Bajo;258045.9375;5405.625;76000.0;2033.2865168539329;5416.666666666671;26306.12258287293
3;2879162;1054010;2.Medio;356301.65151666355;31693.659688419393;89856.51152698381;142926.9843408584;293666.6666666666;331145.5761473526
4;980892;482949;1.Bajo;251495.24378537422;50205.661273341815;101208.83477838038;96699.26742472194;44727.6666666667;50487.37169234346
