Fecha;Hora;Equipo1;ResultadoFinal;Equipo2
14/Feb/2012;20:45;Olympique Lyonnais;1-0;APOEL
14/Feb/2012;20:45;Bayer Leverkusen;1-3;Barcelona
15/Feb/2012;18:00;Zenit Saint Petersburg;3-2;Benfica
15/Feb/2012;20:45;AC Milan;4-0;Arsenal
21/Feb/2012;18:00;CSKA Moskva;1-1;Real Madrid
21/Feb/2012;20:45;Napoli;3-1;Chelsea
22/Feb/2012;20:45;Marseille;1-0;Internazionale
22/Feb/2012;20:45;Basel;1-0;Bayern Munchen
06/Mar/2012;20:45;Arsenal;3-0;AC Milan
06/Mar/2012;20:45;Benfica;2-0;Zenit Saint Petersburg
07/Mar/2012;20:45;APOEL;4-3;Olympique Lyonnais
07/Mar/2012;20:45;Barcelona;7-1;Bayer Leverkusen
13/Mar/2012;20:45;Internazionale;2-1;Marseille
13/Mar/2012;20:45;Bayern Munchen;7-0;Basel
14/Mar/2012;20:45;Chelsea;4-1;Napoli
14/Mar/2012;20:45;Real Madrid;4-1;CSKA Moskva
27/Mar/2012;20:45;APOEL;0-3;Real Madrid
27/Mar/2012;20:45;Benfica;0-1;Chelsea
28/Mar/2012;20:45;Marseille;0-2;Bayern Munchen
28/Mar/2012;20:45;AC Milan;0-0;Barcelona
03/Apr/2012;20:45;Bayern Munchen;2-0;Marseille
03/Apr/2012;20:45;Barcelona;3-1;AC Milan
04/Apr/2012;20:45;Real Madrid;5-2;APOEL
04/Apr/2012;20:45;Chelsea;2-1;Benfica
17/Apr/2012;20:45;Bayern Munchen;2-1;Real Madrid
18/Apr/2012;20:45;Chelsea;1-0;Barcelona
24/Apr/2012;20:45;Barcelona;2-2;Chelsea
25/Apr/2012;20:45;Real Madrid;3-4;Bayern Munchen
19/May/2012;20:45;Bayern Munchen;3-4;Chelsea
12/Feb/2013;20:45;Celtic Glasgow;0-3;Juventus
12/Feb/2013;20:45;Valencia;1-2;Paris Saint-Germain
13/Feb/2013;20:45;Schachtar Donezk;2-2;Borussia Dortmund
13/Feb/2013;20:45;Real Madrid;1-1;Manchester United
19/Feb/2013;20:45;Porto;1-0;Malaga CF
19/Feb/2013;20:45;Arsenal;1-3;Bayern Munchen
20/Feb/2013;20:45;Galatasaray;1-1;Schalke 04
20/Feb/2013;20:45;AC Milan;2-0;Barcelona
