numero;familia;nombre;hexadecimal;rgb
122;BLANCO;ALICEBLUE;#F0F8FF;RGB(240, 248, 255)
130;BLANCO;ANTIQUEWHITE;#FAEBD7;RGB(250, 235, 215)
75;AZUL;AQUA;#00FFFF;RGB(0, 255, 255)
79;AZUL;AQUAMARINE;#7FFFD4;RGB(127, 255, 212)
121;BLANCO;AZURE;#F0FFFF;RGB(240, 255, 255)
126;BLANCO;BEIGE;#F5F5DC;RGB(245, 245, 220)
102;MARRÓN;BISQUE;#FFE4C4;RGB(255, 228, 196)
143;GRIS;BLACK;#000000;RGB(0, 0, 0)
101;MARRÓN;BLANCHEDALMOND;#FFEBCD;RGB(255, 235, 205)
95;AZUL;BLUE;#0000FF;RGB(0, 0, 255)
43;PÚRPURA;BLUEVIOLET;#8A2BE2;RGB(138, 43, 226)
115;MARRÓN;BROWN;#A52A2A;RGB(165, 42, 42)
105;MARRÓN;BURLYWOOD;#DEB887;RGB(222, 184, 135)
83;AZUL;CADETBLUE;#5F9EA0;RGB(95, 158, 160)
53;VERDE;CHARTREUSE;#7FFF00;RGB(127, 255, 0)
112;MARRÓN;CHOCOLATE;#D2691E;RGB(210, 105, 30)
17;NARANJA;CORAL;#FF7F50;RGB(255, 127, 80)
92;AZUL;CORNFLOWERBLUE;#6495ED;RGB(100, 149, 237)
100;MARRÓN;CORNSILK;#FFF8DC;RGB(255, 248, 220)
6;ROJA;CRIMSON;#DC143C;RGB(220, 20, 60)
76;AZUL;CYAN;#00FFFF;RGB(0, 255, 255)
97;AZUL;DARKBLUE;#00008B;RGB(0, 0, 139)
73;VERDE;DARKCYAN;#008B8B;RGB(0, 139, 139)
110;MARRÓN;DARKGOLDENROD;#B8860B;RGB(184, 134, 11)
137;GRIS;DARKGRAY;#A9A9A9;RGB(169, 169, 169)
65;VERDE;DARKGREEN;#006400;RGB(0, 100, 0)
32;AMARILLA;DARKKHAKI;#BDB76B;RGB(189, 183, 107)
46;PÚRPURA;DARKMAGENTA;#8B008B;RGB(139, 0, 139)
69;VERDE;DARKOLIVEGREEN;#556B2F;RGB(85, 107, 47)
20;NARANJA;DARKORANGE;#FF8C00;RGB(255, 140, 0)
45;PÚRPURA;DARKORCHID;#9932CC;RGB(153, 50, 204)
9;ROJA;DARKRED;#8B0000;RGB(139, 0, 0)
4;ROJA;DARKSALMON;#E9967A;RGB(233, 150, 122)
71;VERDE;DARKSEAGREEN;#8FBC8B;RGB(143, 188, 139)
50;PÚRPURA;DARKSLATEBLUE;#483D8B;RGB(72, 61, 139)
142;GRIS;DARKSLATEGRAY;#2F4F4F;RGB(47, 79, 79)
82;AZUL;DARKTURQUOISE;#00CED1;RGB(0, 206, 209)
